date,BidPrice-BSV,BidVolume-BSV,AskPrice-BSV,AskVolume-BSV,BidPrice-BTC,BidVolume-BTC,AskPrice-BTC,AskVolume-BTC,BidPrice-EOS,BidVolume-EOS,AskPrice-EOS,AskVolume-EOS,BidPrice-ETH,BidVolume-ETH,AskPrice-ETH,AskVolume-ETH,BidPrice-BAB,BidVolume-BAB,AskPrice-BAB,AskVolume-BAB,BidPrice-LTC,BidVolume-LTC,AskPrice-LTC,AskVolume-LTC,BidPrice-NEO,BidVolume-NEO,AskPrice-NEO,AskVolume-NEO,BidPrice-XRP,BidVolume-XRP,AskPrice-XRP,AskVolume-XRP
2019-11-03 07:57:58.114801,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.276,2632.77863534,58.316,2271.4689837500005,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:58.865785,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.276,2632.77863534,58.316,2271.4689837500005,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:58.968776,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.11,721.09874068,295.26,587.52378941,58.276,2632.77863534,58.316,2271.4689837500005,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:58:02.127755,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.11,721.09874068,295.26,587.52378941,58.276,2632.77863534,58.316,2271.4689837500005,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:58:05.998121,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.11,721.09874068,295.26,587.52378941,58.276,2632.77863534,58.316,2271.4689837500005,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:58:07.418817,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.11,721.09874068,295.26,587.52378941,58.276,2632.77863534,58.316,2271.4689837500005,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:58:07.981844,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.11,721.09874068,295.26,587.52378941,58.276,2632.77863534,58.316,2271.4689837500005,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:58:08.043838,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.11,721.09874068,295.26,587.52378941,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:58:08.075814,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.11,721.09874068,295.26,587.52378941,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
2019-11-03 07:58:08.085812,131.92,1648.3467277199998,132.1,1418.01702604,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,33932.93873722,3.3294,48849.97460505,183.84,882.49734874,183.86,961.37577306,295.11,721.09874068,295.26,587.52378941,58.276,2377.43854547,58.308,2477.48670932,10.963,4574.192916980001,10.964,2348.47503921,0.294,338886.86988612,0.29407,563600.53868028
